Route,How it is derived,Result,Expected,Difference,Verdict
A — Statement,"Mercury's statement for 01–31 December 2024, ending balance",11053.84,11053.84,0.0,AUTHORITY (opening)
B — Statement,"Mercury's statement for 01–31 December 2025, ending balance",32120.51,32120.51,0.0,AUTHORITY (closing)
C — Back-computed,Live balance today less every transaction posted after 31 December 2025,32120.51,32120.51,0.0,MATCH
D — Forward,Opening balance plus every transaction posted inside 2025,32120.51,32120.51,0.0,MATCH
E — From account opening,Every transaction from the day the account opened to 31 December 2024,11053.84,11053.84,0.0,MATCH
F — Monthly,Each of the 12 months against its own statement,,,,12 of 12 MATCH
"G — Peak, second route",Peak recomputed as a day-cut sum rather than a running total,35157.93,35157.93,0.0,MATCH
,,,,,
EVIDENCE,"Each line below is computed from the raw Mercury data, not asserted",,,,
Statement / ledger bijection,Transaction ids named on Mercury's 2025 statements against the ids in our pull,,,,"33 ↔ 33 — 0 missing, 0 orphan"
createdAt vs postedAt,"The trap that puts a transaction in the wrong year — tested directly, not by comparing two pulls",,,,"0 straddle the year, 5 straddle a day"
Rows dropped from the year,Rows excluded because they failed or never posted,,,,NONE — all 38 rows posted
Savings ••7355,Every one of its 12 statement ending balances in 2025,0.0,0.0,0.0,ZERO ALL YEAR — no transactions
Card payments mirrored,Each 'Sent to card' row on the bank matched to its credit on the card ledger,,,,2 of 2 PAIRED
Money-out split,"Expenses plus sent-to-card must equal the total, not undercut it",-15663.38,-15663.38,0.0,MATCH
Peak sits inside the year,The peak must be at least the opening and at least the closing,35157.93,32120.51,3037.42,MATCH
"Year-boundary margin, opening",Hours to the nearest transaction either side of 1 Jan 2025,,,,163.57 hours
"Year-boundary margin, closing",Hours to the nearest transaction either side of 1 Jan 2026,,,,12.01 hours — wider than any timezone
,,,,,
"NOTED, NOT RESOLVED",,,,,
The peak DATE is clock-sensitive,The credit that set it posted 2.03 h before midnight UTC. The amount is clock-independent; on IST (+5:30) the date reads 1 August.,,,,31 July is the bank's own UTC basis
Peak is an end-of-day figure,"A bank reports at each day's close. The intra-day high in Mercury's posting order is the same $35,157.93.",,,,changes nothing this year
'Sent to card' is not card spend,"Cash moved to settle the card, versus what the card bought. Equal this year only because the card was cleared in-year.",,,,"see 'Total expense incurred', Summary"
Credit account has no statements,Mercury issues statements for the two bank accounts only; the card ledger rests on the mirrored payments and its zero balance.,,,,open
